BubbleSort; BubbleSortOtimizado; SelectionSort; SelectionSortOtimizado; InsertionSort; BucketSort
4.2644e+08;2.34406e+08;1.51982e+08;1.56563e+08;1.02615e+08;2.44659e+07
4.91861e+08;3.38517e+08;1.94173e+08;2.6741e+08;1.45162e+08;3.3171e+07
6.79966e+08;3.35152e+08;2.97579e+08;2.86843e+08;1.47366e+08;2.82411e+07
5.87594e+08;3.09248e+08;2.63144e+08;2.95478e+08;1.41898e+08;3.02364e+07
5.88332e+08;3.04763e+08;2.60757e+08;2.8578e+08;1.41101e+08;2.80847e+07
5.83319e+08;3.14134e+08;2.72136e+08;2.96126e+08;1.4354e+08;2.89421e+07
5.77191e+08;3.06572e+08;2.57774e+08;2.91737e+08;1.42909e+08;3.2209e+07
6.08548e+08;3.0704e+08;2.60931e+08;2.89728e+08;1.40429e+08;3.43508e+07
5.68809e+08;2.97883e+08;2.54557e+08;2.88361e+08;1.37799e+08;2.89842e+07
6.48123e+08;3.00519e+08;2.76828e+08;2.97813e+08;1.39536e+08;2.92745e+07
5.74457e+08;3.0707e+08;2.64473e+08;3.08553e+08;1.57212e+08;4.85651e+07
5.99023e+08;3.28717e+08;3.17121e+08;3.41155e+08;1.47546e+08;3.47065e+07
6.39166e+08;3.36203e+08;3.02149e+08;3.31721e+08;1.65195e+08;3.7504e+07
6.0835e+08;3.41257e+08;2.8506e+08;3.22813e+08;1.61838e+08;3.25219e+07
6.32684e+08;3.3831e+08;2.83475e+08;2.98814e+08;1.42135e+08;2.94142e+07
6.24006e+08;3.06318e+08;2.5627e+08;2.98233e+08;1.82233e+08;5.12183e+07
5.70893e+08;3.33216e+08;2.95078e+08;3.26048e+08;1.54379e+08;3.60519e+07
6.81675e+08;3.47818e+08;2.9667e+08;3.26248e+08;1.44009e+08;3.71843e+07
6.70189e+08;3.60557e+08;3.07453e+08;3.56263e+08;1.70427e+08;4.08579e+07
6.54046e+08;3.24862e+08;2.92273e+08;3.01291e+08;1.42567e+08;2.93598e+07
5.74204e+08;3.01872e+08;2.86182e+08;3.42235e+08;1.63479e+08;3.83852e+07
7.525e+08;3.52508e+08;2.98545e+08;2.92997e+08;1.37578e+08;2.90138e+07
5.71125e+08;3.06503e+08;2.58184e+08;2.88042e+08;1.38546e+08;2.89951e+07
5.77925e+08;3.05131e+08;2.83444e+08;2.87972e+08;1.38612e+08;2.8832e+07
5.91236e+08;3.09055e+08;2.59337e+08;2.87402e+08;1.39214e+08;2.8889e+07
5.96589e+08;3.00871e+08;2.61577e+08;2.87943e+08;1.3824e+08;3.31353e+07
6.58151e+08;3.01099e+08;2.5793e+08;2.87444e+08;1.41134e+08;2.85689e+07
5.74265e+08;3.16417e+08;2.61499e+08;2.88423e+08;1.39993e+08;2.91785e+07
5.80209e+08;3.03844e+08;2.54905e+08;2.93402e+08;1.58124e+08;2.94909e+07
5.96122e+08;3.03804e+08;2.62937e+08;2.93355e+08;1.41068e+08;2.86792e+07
5.89659e+08;3.03218e+08;2.78728e+08;3.10109e+08;1.43459e+08;3.22887e+07
6.66106e+08;3.79515e+08;2.87802e+08;3.3824e+08;1.52209e+08;3.53198e+07
6.21918e+08;3.51219e+08;3.03095e+08;2.89312e+08;1.37071e+08;2.86056e+07
5.7753e+08;3.03903e+08;2.56763e+08;3.01333e+08;1.42356e+08;3.11417e+07
5.78369e+08;3.08562e+08;2.56806e+08;2.86703e+08;1.42739e+08;2.90888e+07
5.70761e+08;2.97231e+08;2.5689e+08;3.00912e+08;1.37237e+08;3.36074e+07
5.68178e+08;3.19126e+08;2.57515e+08;2.86818e+08;1.47077e+08;3.9505e+07
5.77167e+08;3.10908e+08;2.57644e+08;2.87176e+08;1.38912e+08;2.90565e+07
5.73504e+08;3.18227e+08;2.55954e+08;2.87092e+08;1.37392e+08;2.85979e+07
5.69936e+08;3.09895e+08;2.54224e+08;2.87173e+08;1.3757e+08;2.91434e+07
5.74593e+08;3.06378e+08;2.54004e+08;2.87434e+08;1.38726e+08;2.91555e+07
5.70189e+08;3.03083e+08;2.53732e+08;2.86993e+08;1.42182e+08;2.9046e+07
5.83966e+08;3.13442e+08;2.5461e+08;2.88436e+08;1.40817e+08;2.94691e+07
5.74353e+08;3.01437e+08;2.55232e+08;2.87637e+08;1.37261e+08;2.96064e+07
5.74852e+08;3.07696e+08;2.56166e+08;2.88279e+08;1.40617e+08;2.93166e+07
5.68752e+08;3.11504e+08;2.54673e+08;2.87917e+08;1.45894e+08;2.9532e+07
6.25612e+08;3.1488e+08;3.02688e+08;3.27131e+08;1.45538e+08;2.97035e+07
6.02604e+08;3.19966e+08;2.70671e+08;3.20344e+08;1.49093e+08;3.24784e+07
5.90593e+08;3.21583e+08;2.83871e+08;3.10982e+08;1.46431e+08;3.27785e+07
5.99458e+08;3.05294e+08;2.60719e+08;3.1043e+08;1.47819e+08;3.05996e+07
